DesignName,ParticipantID,TrialID,Block1,Trial,VV,OC,VisualSearchTime,ErrorCount
Blocked by VV,1,1,1,1,Fill,Medium,2599,0
Blocked by VV,1,2,1,2,Fill,Large,1232,0
Blocked by VV,1,3,1,2,Fill,Large,754,0
Blocked by VV,1,4,1,3,Fill,Small,680,0
Blocked by VV,1,5,1,4,Fill,Medium,936,0
Blocked by VV,1,6,1,4,Fill,Medium,1064,0
Blocked by VV,1,7,1,5,Fill,Small,527,0
Blocked by VV,1,8,1,6,Fill,Large,337,0
Blocked by VV,1,9,1,6,Fill,Large,609,0
Blocked by VV,1,10,1,6,Fill,Large,560,0
Blocked by VV,1,11,1,7,Fill,Medium,608,0
Blocked by VV,1,12,1,8,Fill,Small,446,0
Blocked by VV,1,13,1,8,Fill,Small,439,0
Blocked by VV,1,14,1,9,Fill,Medium,360,0
Blocked by VV,1,15,1,10,Fill,Large,457,0
Blocked by VV,1,16,1,11,Fill,Medium,498,0
Blocked by VV,1,17,1,12,Fill,Small,519,0
Blocked by VV,1,18,1,12,Fill,Small,520,0
Blocked by VV,1,19,2,1,Stroke,Medium,608,0
Blocked by VV,1,20,2,2,Stroke,Large,633,0
Blocked by VV,1,21,2,2,Stroke,Large,489,0
Blocked by VV,1,22,2,3,Stroke,Small,553,0
Blocked by VV,1,23,2,4,Stroke,Medium,464,0
Blocked by VV,1,24,2,4,Stroke,Medium,528,0
Blocked by VV,1,25,2,5,Stroke,Small,321,0
Blocked by VV,1,26,2,6,Stroke,Large,688,0
Blocked by VV,1,27,2,6,Stroke,Large,626,0
Blocked by VV,1,28,2,6,Stroke,Large,904,0
Blocked by VV,1,29,2,7,Stroke,Medium,585,0
Blocked by VV,1,30,2,8,Stroke,Small,583,0
Blocked by VV,1,31,2,8,Stroke,Small,352,0
Blocked by VV,1,32,2,9,Stroke,Medium,320,0
Blocked by VV,1,33,2,10,Stroke,Large,1066,0
Blocked by VV,1,34,2,11,Stroke,Medium,505,0
Blocked by VV,1,35,2,12,Stroke,Small,399,0
Blocked by VV,1,36,2,12,Stroke,Small,727,0
Blocked by VV,1,37,3,1,StrokeFill,Medium,1520,1
Blocked by VV,1,38,3,2,StrokeFill,Large,2617,0
Blocked by VV,1,39,3,2,StrokeFill,Large,3704,0
Blocked by VV,1,40,3,3,StrokeFill,Small,1871,0
Blocked by VV,1,41,3,4,StrokeFill,Medium,2944,0
Blocked by VV,1,42,3,4,StrokeFill,Medium,6761,0
Blocked by VV,1,43,3,5,StrokeFill,Small,2584,0
